Navn;Stasjon;Tid(norsk normaltid);Høyeste vindkast (10 min)
E39 Stordabrua;SN48070;27.01.2022 05:20;13,8
E39 Stordabrua;SN48070;27.01.2022 05:30;13,9
E39 Stordabrua;SN48070;27.01.2022 05:40;14,5
E39 Stordabrua;SN48070;27.01.2022 05:50;12,7
E39 Stordabrua;SN48070;27.01.2022 06:00;13,1
E39 Stordabrua;SN48070;27.01.2022 06:10;13,1
E39 Stordabrua;SN48070;27.01.2022 06:20;24,9
E39 Stordabrua;SN48070;27.01.2022 06:30;24,9
E39 Stordabrua;SN48070;27.01.2022 06:40;23,1
E39 Stordabrua;SN48070;27.01.2022 06:50;23,1
E39 Stordabrua;SN48070;27.01.2022 07:00;21,8
E39 Stordabrua;SN48070;27.01.2022 07:10;22,4
E39 Stordabrua;SN48070;27.01.2022 07:20;22,4
E39 Stordabrua;SN48070;27.01.2022 07:30;21
E39 Stordabrua;SN48070;27.01.2022 07:40;23,6
E39 Stordabrua;SN48070;27.01.2022 07:50;23,6
E39 Stordabrua;SN48070;27.01.2022 08:00;23,4
E39 Stordabrua;SN48070;27.01.2022 08:10;20,9
E39 Stordabrua;SN48070;27.01.2022 08:20;20,6
E39 Stordabrua;SN48070;27.01.2022 08:30;20,6
E39 Stordabrua;SN48070;27.01.2022 08:40;20,2
E39 Stordabrua;SN48070;27.01.2022 08:50;20,2
E39 Stordabrua;SN48070;27.01.2022 09:00;20,9
E39 Stordabrua;SN48070;27.01.2022 09:10;19,1
E39 Stordabrua;SN48070;27.01.2022 09:20;22,2
E39 Stordabrua;SN48070;27.01.2022 09:30;22,2
E39 Stordabrua;SN48070;27.01.2022 09:40;19,1
E39 Stordabrua;SN48070;27.01.2022 09:50;19,4
E39 Stordabrua;SN48070;27.01.2022 10:00;20,2
E39 Stordabrua;SN48070;27.01.2022 10:10;20,9
E39 Stordabrua;SN48070;27.01.2022 10:20;20,9
E39 Stordabrua;SN48070;27.01.2022 10:30;19,1
E39 Stordabrua;SN48070;27.01.2022 10:40;22,6
E39 Stordabrua;SN48070;27.01.2022 10:50;20,2
E39 Stordabrua;SN48070;27.01.2022 11:00;19,5
E39 Stordabrua;SN48070;27.01.2022 11:10;20,3
E39 Stordabrua;SN48070;27.01.2022 11:20;20,3
E39 Stordabrua;SN48070;27.01.2022 11:30;21,3
E39 Stordabrua;SN48070;27.01.2022 11:40;21,3
E39 Stordabrua;SN48070;27.01.2022 11:50;19,8
E39 Stordabrua;SN48070;27.01.2022 12:00;15,5
E39 Stordabrua;SN48070;27.01.2022 12:10;17
E39 Stordabrua;SN48070;27.01.2022 12:20;23,4
E39 Stordabrua;SN48070;27.01.2022 12:30;23,4
E39 Stordabrua;SN48070;27.01.2022 12:40;21,9
E39 Stordabrua;SN48070;27.01.2022 12:50;21,9
E39 Stordabrua;SN48070;27.01.2022 13:00;18,1
E39 Stordabrua;SN48070;27.01.2022 13:10;16,6
E39 Stordabrua;SN48070;27.01.2022 13:20;22
E39 Stordabrua;SN48070;27.01.2022 13:30;22
E39 Stordabrua;SN48070;27.01.2022 13:40;18,4
E39 Stordabrua;SN48070;27.01.2022 13:50;18,4
E39 Stordabrua;SN48070;27.01.2022 14:00;16,5
E39 Stordabrua;SN48070;27.01.2022 14:10;21,7
E39 Stordabrua;SN48070;27.01.2022 14:20;21,7
E39 Stordabrua;SN48070;27.01.2022 14:30;16,9
E39 Stordabrua;SN48070;27.01.2022 14:40;18,6
E39 Stordabrua;SN48070;27.01.2022 14:50;20,6
E39 Stordabrua;SN48070;27.01.2022 15:00;20,7
E39 Stordabrua;SN48070;27.01.2022 15:10;20,7
E39 Stordabrua;SN48070;27.01.2022 15:20;21,2
E39 Stordabrua;SN48070;27.01.2022 15:30;21,2
E39 Stordabrua;SN48070;27.01.2022 15:40;18,7
E39 Stordabrua;SN48070;27.01.2022 15:50;19,8
E39 Stordabrua;SN48070;27.01.2022 16:00;19,8
E39 Stordabrua;SN48070;27.01.2022 16:10;21
E39 Stordabrua;SN48070;27.01.2022 16:20;21,7
E39 Stordabrua;SN48070;27.01.2022 16:30;24,3
E39 Stordabrua;SN48070;27.01.2022 16:40;24,3
E39 Stordabrua;SN48070;27.01.2022 16:50;24,7
E39 Stordabrua;SN48070;27.01.2022 17:00;24,7
E39 Stordabrua;SN48070;27.01.2022 17:10;22
E39 Stordabrua;SN48070;27.01.2022 17:20;23,8
E39 Stordabrua;SN48070;27.01.2022 17:30;24,3
E39 Stordabrua;SN48070;27.01.2022 17:40;24,3
E39 Stordabrua;SN48070;27.01.2022 17:50;24
E39 Stordabrua;SN48070;27.01.2022 18:00;24
E39 Stordabrua;SN48070;27.01.2022 18:10;22,6
E39 Stordabrua;SN48070;27.01.2022 18:20;23
E39 Stordabrua;SN48070;27.01.2022 18:30;23,3
E39 Stordabrua;SN48070;27.01.2022 18:40;23,3
E39 Stordabrua;SN48070;27.01.2022 18:50;22
E39 Stordabrua;SN48070;27.01.2022 19:00;20,6
E39 Stordabrua;SN48070;27.01.2022 19:10;21,9
E39 Stordabrua;SN48070;27.01.2022 19:20;21,9
E39 Stordabrua;SN48070;27.01.2022 19:30;21
E39 Stordabrua;SN48070;27.01.2022 19:40;21
E39 Stordabrua;SN48070;27.01.2022 19:50;20,1
E39 Stordabrua;SN48070;27.01.2022 20:00;19,7
E39 Stordabrua;SN48070;27.01.2022 20:10;18,2
E39 Stordabrua;SN48070;27.01.2022 20:20;18,1
E39 Stordabrua;SN48070;27.01.2022 20:30;17
E39 Stordabrua;SN48070;27.01.2022 20:40;16,5
E39 Stordabrua;SN48070;27.01.2022 20:50;16,5
E39 Stordabrua;SN48070;27.01.2022 21:00;18,1
E39 Stordabrua;SN48070;27.01.2022 21:10;18,4
